AENAON – Component Integration Matrix
#,Component A (Provider),Component B (Consumer),Service Layer,Data / Payload Exchanged,Integration Type,Format,Status Partner A,Status Partner B,Comments
15,Risk Assessment Platform (PRV),Threat Detection & Incident Response (PRV),RMCM,"Risk propagation / asset context: asset criticality, risk scores, cascading risk paths",REST API,JSON,Pending,Pending,
16,Threat Detection & Incident Response (PRV),Threat Hunting & Exposure Workbench (CLX),RMCM,"Detection context or historical alert/result summaries that may inform hunt refinement: alert type, affected asset, observed behaviour and evidence references.",Manual/file exchange for V1; optional API later if agreed,JSON/CSV/PDF alert summary; logs only if explicitly authorised and sanitised,Pending,Validated,No direct telemetry integration is assumed for V1
17,Threat Detection & Incident Response (PRV),External Kestrel Runtime (CLX),RMCM,"Telemetry source/access context for executing huntflows, where explicitly available and authorised.",To be clarified / not assumed for V1,Kestrel data-source configuration or query connector configuration; not STIX as default,Pending,Validated,No live telemetry integration is committed by CLX for D3.1. Kestrel execution may be demonstrated with representative/offline data or partner-provided runtime context.
18,External Kestrel Runtime (CLX),Threat Detection & Incident Response (PRV),RMCM,"Hunt execution results: matched behaviours, observed indicators, affected entities, result summary and supporting evidence.",File/report export for V1; optional API later if agreed,JSON/CSV/Markdown/PDF result summary; STIX only if mapping is agreed,Validated,Pending,"For V1, results can be reviewed by users and shared out-of-band to inform PRV tools/RMCM reporting."
19,Threat Hunting & Exposure Workbench (CLX),External Kestrel Runtime (CLX),RMCM,"Kestrel-compatible hunt packs/huntbooks generated from exposure, risk and CTI/TTP context.",File export / external runtime execution,Kestrel huntflow (.hf); Markdown/PDF explanation; optional JSON metadata,Validated,Validated,Preferred V1 flow: THM prepares and exports hunt artefacts. Execution occurs in an external Kestrel runtime or representative environment; no embedded runtime commitment.
20,Risk Assessment Platform (PRV),Cyber Range & ICRTP (ZELUS),SARC & Virtualisation,Risk exercise scenarios: threat scenarios derived from risk model for use in training exercises,REST API / File export,JSON,Pending,Pending,
21,Threat Detection & Incident Response (PRV),Cyber Range & ICRTP (ZELUS),SARC & Virtualisation,Detection rules / scenarios: Sigma/Wazuh rules and incident scenarios for Red/Blue exercises,REST API,Sigma YAML / JSON,Pending,Pending,
22,Cyber Range & ICRTP (ZELUS),Threat Detection & Incident Response (PRV),RMCM,"Exercise outcomes: exercise telemetry, defender actions, detection performance data",REST API,JSON / YAML,Pending,Pending,
23,Wind Farm Operators,Cyber Range & ICRTP,SARC & Virtualisation,"Access and configuration: exercise selection, training requests, operator profiles",,,Pending,Pending,
,AENAON ARCHITECTURE: https://drive.google.com/file/d/19nAWuBVVR-o7nDxu5wKc_BagRbp-ciyo/view?usp=sharing,,,,,,,,
